año;acontecimiento;lugar
1776;('La firma de la Declaración de Independencia de Estados Unidos', 'tuvo');Estados Unidos
476;('La caída del Imperio Romano de Occidente', 'tuvo');Italia
1789;('La Revolución Francesa', 'tuvo');Francia
1492;('El descubrimiento de América por Cristóbal Colón', 'tuvo');Bahamas
1760;('La Revolución Industrial', 'comenzó');Reino Unido
1912;('El hundimiento del Titanic', 'tuvo');el Atlántico Norte
1903;('El primer vuelo de los hermanos Wright', 'tuvo');Estados Unidos
753;('La fundación de Roma', 'tuvo');Italia
1914;('El inicio de la Primera Guerra Mundial', 'tuvo');Europa
1945;('El final de la Segunda Guerra Mundial', 'tuvo');nivel mundial
1989;('La caída del Muro de Berlín', 'tuvo');Alemania
1868;('El inicio de la era Meiji', 'tuvo');Japón
1865;('La abolición de la esclavitud en Estados Unidos', 'tuvo');Estados Unidos tuvo lugar el 1865 en Estados Unidos
1440;('La invención de la imprenta por Johannes Gutenberg', 'tuvo');Alemania
1919;('La firma del Tratado de Versalles', 'tuvo');Francia
1917;('La Revolución Rusa', 'tuvo');Rusia
1453;('La conquista de Constantinopla por los otomanos', 'tuvo');Turquía
563;('El nacimiento de Buda Gautama', 'tuvo');Nepal
1993;('La creación de la Unión Europea', 'tuvo');Europa
1953;('La primera ascensión al Everest', 'tuvo');Nepal/China
1300;('El inicio del Renacimiento', 'tuvo');Italia
1944;('La invasión de Normandía durante la Segunda Guerra Mundial', 'tuvo');Francia
1096;('La primera Cruzada', 'comenzó');Oriente Medio
1533;('La caída del Imperio Inca', 'tuvo');Perú
1947;('La independencia de la India', 'tuvo');India
1928;('El descubrimiento de la penicilina por Alexander Fleming', 'tuvo');Reino Unido
1949;('La creación de la República Popular China', 'tuvo');China
700;('El inicio de la construcción de la Gran Muralla China', 'tuvo');China
1492;('El descubrimiento del Nuevo Mundo por Cristóbal Colón', 'tuvo');Bahamas
1494;('La firma del Tratado de Tordesillas', 'tuvo');España/Portugal
