iter	Logloss
0	0.6892992311
1	0.685454188
2	0.6813025672
3	0.6774928546
4	0.6741761595
5	0.669923057
6	0.667146394
7	0.6634065419
8	0.6605789968
9	0.6572436311
10	0.6537167703
11	0.6502908683
12	0.6469176794
13	0.6439339974
14	0.6411457481
15	0.6380735577
16	0.63521985
17	0.6318894467
18	0.6283704057
19	0.6259918762
20	0.6226203992
21	0.6201927441
22	0.6177716474
23	0.614930279
24	0.6122921941
25	0.6094168416
26	0.6063088449
27	0.6033313597
28	0.6007363631
29	0.5977784691
30	0.5950974062
31	0.5928157269
32	0.5898291157
33	0.5878900646
34	0.5849189188
35	0.5826677599
36	0.5801668332
37	0.5779153236
38	0.5759942659
39	0.5742950756
40	0.5715919907
41	0.5695018986
42	0.5667924011
43	0.5645733834
44	0.562392665
45	0.5599894586
46	0.5576082278
47	0.5553633373
48	0.5531928538
49	0.5504959811
50	0.5483172919
51	0.5470064331
52	0.5445459528
53	0.5427307661
54	0.5405344969
55	0.5381776335
56	0.5360015959
57	0.5344438322
58	0.5329868224
59	0.5317261615
60	0.5306672769
61	0.5287963865
62	0.5266854476
63	0.5252845669
64	0.5235741614
65	0.5219100021
66	0.5202787888
67	0.5191615006
68	0.5186178745
69	0.5169999407
70	0.5153963614
71	0.5143912308
72	0.5127202886
73	0.5108874987
74	0.5097979966
75	0.5080473029
76	0.5063188206
77	0.5044433441
78	0.5022674749
79	0.5009964121
80	0.4993972319
81	0.4979866422
82	0.4968084546
83	0.4954883595
84	0.4940788684
85	0.492917172
86	0.4916066362
87	0.490406031
88	0.4891009296
89	0.4882202652
90	0.4873262326
91	0.4860593764
92	0.484892271
93	0.4834935999
94	0.4822426594
95	0.4806603845
96	0.4798915239
97	0.4786260595
98	0.4775219088
99	0.4763460291
100	0.4755225516
101	0.4739650632
102	0.4728389247
103	0.4718571928
104	0.4706300047
105	0.4695828087
106	0.4687386349
107	0.4675179803
108	0.4665299968
109	0.4653302694
110	0.464143395
111	0.4631441334
112	0.4619853251
113	0.4612502611
114	0.4604997385
115	0.4597219961
116	0.4585963574
117	0.457674758
118	0.4567064354
119	0.4557855524
120	0.4552348453
121	0.4538517504
122	0.4531754865
123	0.4523767377
124	0.4513946717
125	0.4502254346
126	0.4491293306
127	0.4483829956
128	0.447585691
129	0.4466000668
130	0.4456961567
131	0.4447713743
132	0.444065027
133	0.4430072673
134	0.4421539288
135	0.4412217883
136	0.440485099
137	0.4398697129
138	0.4390630735
139	0.4380631134
140	0.4373291578
141	0.4362948778
142	0.4356594548
143	0.4348832318
144	0.4341683737
145	0.4333837638
146	0.4326835198
147	0.4317402107
148	0.4310994886
149	0.4305316828
150	0.4298242858
151	0.4290660787
152	0.4285222463
153	0.427933298
154	0.4270736735
155	0.4264261703
156	0.4258763011
157	0.4252963646
158	0.4244918481
159	0.4236871466
160	0.4228075087
161	0.4222478319
162	0.4217824859
163	0.4212296904
164	0.420392614
165	0.4197053555
166	0.4187038076
167	0.4180907724
168	0.4173848032
169	0.4167739428
170	0.4160639641
171	0.4157060822
172	0.4151029804
173	0.4143810237
174	0.413608067
175	0.4131302776
176	0.4126591393
177	0.4119740991
178	0.4112411631
179	0.4106867274
180	0.4102114724
181	0.4096399987
182	0.4090625875
183	0.4086641378
184	0.4080102304
185	0.4072500997
186	0.4066299315
187	0.4060207022
188	0.4054922234
189	0.404952399
190	0.4044695946
191	0.4037884599
192	0.4032825385
193	0.4027123165
194	0.4020429148
195	0.4016944796
196	0.4010490969
197	0.400441861
198	0.3999470625
199	0.3994881075
200	0.3990470369
201	0.3985715583
202	0.3982597446
203	0.3977869733
204	0.3972005901
205	0.3965684572
206	0.39593447
207	0.3954161443
208	0.3947658212
209	0.3943368655
210	0.394047368
211	0.3934301503
212	0.3928610222
213	0.3924075281
214	0.3920399464
215	0.391278255
216	0.3909827422
217	0.3903810963
218	0.3897785857
219	0.3893702578
220	0.388608199
221	0.3880642119
222	0.3874521556
223	0.3870331194
224	0.3866190949
225	0.386170299
226	0.3856459626
227	0.385232643
228	0.3846463864
229	0.3842151877
230	0.3838608523
231	0.3832823253
232	0.3827737427
233	0.3822942051
234	0.3820340474
235	0.3816310733
236	0.3811080283
237	0.3806758915
238	0.38016878
239	0.3796321104
240	0.3791922746
241	0.3787693268
242	0.3782986437
243	0.3779567542
244	0.377662948
245	0.3772122253
246	0.3767328604
247	0.3765050544
248	0.3761653851
249	0.3758183002
250	0.3755504302
251	0.3751553861
252	0.3748816434
253	0.3745709355
254	0.3741280378
255	0.3738626623
256	0.3735830144
257	0.3733335263
258	0.372914933
259	0.3725347069
260	0.3720292733
261	0.3716379741
262	0.371186892
263	0.3708933425
264	0.3705649822
265	0.3702790677
266	0.3699334439
267	0.3696757164
268	0.3693771024
269	0.3688589143
270	0.3685309935
271	0.3682575689
272	0.3678966415
273	0.3675005639
274	0.3670990707
275	0.3667406889
276	0.3663498701
277	0.3659525137
278	0.3655928445
279	0.3653385815
280	0.3650327408
281	0.3646860038
282	0.3642384363
283	0.3636413046
284	0.3633716283
285	0.3629915642
286	0.3624232503
287	0.3620456216
288	0.3615171394
289	0.3611269113
290	0.3609419023
291	0.3605573555
292	0.3602319537
293	0.3598509953
294	0.3593948378
295	0.3590950226
296	0.3587173806
297	0.3582534087
298	0.3577205966
299	0.3572215773
300	0.356994366
301	0.3565254385
302	0.3560724498
303	0.3557340968
304	0.35546826
305	0.3552286754
306	0.3547752214
307	0.3544253613
308	0.3542163403
309	0.35404866
310	0.3536309904
311	0.3533670549
312	0.3531259224
313	0.3528214176
314	0.3525311672
315	0.3522358995
316	0.3520443753
317	0.3517266076
318	0.3515083795
319	0.3511738551
320	0.3509281169
321	0.3507813493
322	0.350452383
323	0.3502230734
324	0.3499662782
325	0.3497294359
326	0.349557265
327	0.3493102176
328	0.3490383074
329	0.3486948026
330	0.3483891529
331	0.3479873635
332	0.3478576497
333	0.3475961589
334	0.3472470506
335	0.3470344031
336	0.3467738247
337	0.3465158559
338	0.3462331966
339	0.3458584776
340	0.3456322436
341	0.3453859729
342	0.3452756243
343	0.3450748498
344	0.3448310006
345	0.3444027646
346	0.344158772
347	0.3437513819
348	0.343499934
