iter	Passed	Remaining
0	2	2044
1	3	1928
2	5	1863
3	8	2005
4	9	1956
5	11	1970
6	14	2033
7	16	1986
8	17	1967
9	19	1947
10	21	1919
11	23	1953
12	25	1944
13	27	1924
14	29	1943
15	31	1955
16	33	1940
17	35	1925
18	37	1917
19	40	1984
20	42	1997
21	44	1990
22	46	1980
23	48	1973
24	50	1970
25	52	1976
26	55	1993
27	57	1988
28	59	1981
29	61	1986
30	63	1979
31	65	1968
32	67	1975
33	70	1994
34	72	1991
35	74	1983
36	75	1976
37	78	1980
38	80	1982
39	82	1979
40	85	1997
41	87	1994
42	89	1983
43	90	1971
44	92	1969
45	94	1966
46	96	1961
47	98	1958
48	101	1962
49	103	1959
50	104	1953
51	107	1952
52	109	1950
53	111	1945
54	113	1943
55	115	1947
56	117	1945
57	119	1941
58	121	1936
59	123	1937
60	125	1935
61	127	1931
62	129	1927
63	131	1930
64	133	1926
65	135	1922
66	138	1922
67	139	1915
68	140	1901
69	142	1898
70	144	1893
71	146	1893
72	148	1889
73	150	1887
74	152	1885
75	155	1884
76	156	1881
77	158	1879
78	160	1874
79	162	1873
80	164	1871
81	166	1866
82	168	1865
83	170	1862
84	172	1857
85	174	1853
86	176	1848
87	178	1848
88	180	1845
89	182	1842
90	184	1838
91	186	1837
92	188	1833
93	189	1830
94	191	1825
95	193	1822
96	195	1819
97	197	1815
98	199	1813
99	201	1810
100	203	1809
101	205	1806
102	207	1803
103	209	1801
104	211	1799
105	213	1798
106	215	1795
107	217	1794
108	219	1792
109	221	1789
110	223	1786
111	225	1784
112	227	1782
113	228	1778
114	230	1776
115	232	1772
116	234	1770
117	236	1768
118	238	1764
119	240	1762
120	242	1760
121	244	1758
122	245	1752
123	247	1750
124	249	1747
125	251	1745
126	253	1743
127	255	1741
128	257	1739
129	259	1737
130	261	1734
131	263	1732
132	265	1730
133	267	1727
134	269	1725
135	271	1724
136	273	1722
137	275	1720
138	277	1718
139	279	1715
140	281	1714
141	283	1711
142	285	1708
143	287	1706
144	289	1704
145	290	1701
146	292	1699
147	294	1697
148	296	1695
149	298	1692
150	300	1690
151	302	1688
152	304	1686
153	306	1685
154	308	1682
155	310	1679
156	312	1677
157	314	1675
158	316	1674
159	318	1673
160	320	1670
161	322	1668
162	324	1667
163	326	1665
164	328	1663
165	330	1661
166	332	1658
167	334	1656
168	336	1654
169	338	1651
170	340	1649
171	342	1647
172	344	1644
173	345	1642
174	347	1639
175	349	1637
176	351	1635
177	353	1633
178	355	1632
179	357	1630
180	359	1628
181	361	1626
182	363	1624
183	365	1621
184	367	1618
185	369	1616
186	371	1613
187	373	1611
188	374	1608
189	376	1606
190	379	1606
191	382	1608
192	384	1606
193	386	1605
194	388	1603
195	390	1600
196	391	1597
197	393	1595
198	396	1594
199	398	1592
200	400	1591
201	402	1589
202	404	1587
203	406	1585
204	408	1583
205	410	1584
206	413	1582
207	414	1579
208	416	1577
209	418	1576
210	420	1574
211	422	1572
212	425	1571
213	427	1569
214	429	1567
215	431	1565
216	433	1563
217	435	1561
218	437	1560
219	439	1558
220	442	1558
221	443	1555
222	445	1553
223	447	1551
224	449	1549
225	451	1547
226	454	1546
227	456	1544
228	458	1543
229	460	1541
230	462	1540
231	465	1540
232	467	1538
233	469	1535
234	471	1533
235	473	1531
236	475	1529
237	477	1527
238	479	1525
239	481	1524
240	483	1521
241	485	1520
242	487	1519
243	489	1517
244	491	1514
245	493	1512
246	495	1510
247	497	1508
248	499	1506
249	501	1505
250	503	1502
251	505	1500
252	507	1498
253	509	1496
254	511	1494
255	513	1492
256	515	1490
257	517	1488
258	519	1486
259	521	1484
260	523	1481
261	525	1479
262	527	1477
263	529	1475
264	531	1473
265	533	1472
266	535	1470
267	537	1467
268	539	1465
269	541	1463
270	543	1461
271	545	1458
272	546	1456
273	548	1454
274	550	1452
275	552	1450
276	554	1448
277	556	1445
278	558	1443
279	560	1440
280	562	1438
281	564	1436
282	566	1434
283	568	1432
284	570	1430
285	572	1428
286	574	1426
287	576	1424
288	578	1422
